alpha_0,gamma,M,has_commits,agent_commit_count,first_commit_time,max_salience,avg_salience,final_psi,delta_psi
1.8,0.001,1,False,0,,0.044431613577761084,0.009162904436418465,0.9071275392054281,-0.10287246079457191
1.81,0.001,1,False,0,,0.044926669519012696,0.009264997291380766,0.917234731846696,-0.09276526815330399
1.82,0.001,1,False,0,,0.045424468152832936,0.00936765575776783,0.9273979200190151,-0.0826020799809849
1.83,0.001,1,False,0,,0.04592500947864078,0.00947087983554663,0.9376171037191164,-0.07238289628088357
1.84,0.001,1,False,0,,0.04642829349649958,0.009574669524655587,0.9478922829409034,-0.06210771705909657
1.85,0.001,1,False,0,,0.04693432020694338,0.009679024825221495,0.9582234576969277,-0.05177654230307227
1.86,0.001,1,False,0,,0.04744308960931925,0.009783945737135138,0.9686106279763789,-0.04138937202362114
1.87,0.001,1,False,0,,0.047954601703718125,0.009889432260399643,0.9790537937795646,-0.030946206220435424
1.8800000000000001,0.001,1,False,0,,0.04846885649032119,0.009995484395064523,0.989552955111388,-0.020447044888612043
1.8900000000000001,0.001,1,False,0,,0.048985853969608896,0.010102102141161298,1.0001081119749682,-0.009891888025031825
1.9000000000000001,0.001,1,True,1,99.09999999998236,0.04950559414067174,0.010209285498600614,0.0,-1.01
1.9100000000000001,0.001,1,True,1,99.09999999998236,0.05002807700412003,0.010317034467453544,0.0,-1.01
1.9200000000000002,0.001,1,True,1,99.09999999998236,0.05055330255944253,0.010425349047642798,0.0,-1.01
1.9300000000000002,0.001,1,True,1,99.09999999998236,0.05108127080742134,0.01053422923926621,0.0,-1.01
1.9400000000000002,0.001,1,True,1,99.09999999998236,0.05161198174748192,0.010643675042277529,0.0,-1.01
1.9500000000000002,0.001,1,True,1,98.09999999998327,0.05214543537931446,0.010753686456611506,0.05214543537931446,-0.9578545646206855
1.8,0.0005,1,False,0,,0.04589613869116632,0.009415322609647723,0.9321169383551247,-0.07788306164487535
1.81,0.0005,1,False,0,,0.046407512335369,0.009520227901705145,0.9425025622688095,-0.06749743773119055
1.82,0.0005,1,False,0,,0.046921719074483156,0.009625714386513336,0.9529457242648204,-0.05705427573517963
1.83,0.0005,1,False,0,,0.047438758908264156,0.00973178206401816,0.963446424337798,-0.046553575662201974
1.84,0.0005,1,False,0,,0.047958631837415576,0.009838430934342038,0.974004662499862,-0.03599533750013806
1.85,0.0005,1,False,0,,0.04848133786136579,0.009945660997399599,0.9846204387425601,-0.025379561257439898
1.86,0.0005,1,False,0,,0.049006876980536455,0.010053472253238844,0.9952937530706455,-0.014706246929354516
1.87,0.0005,1,False,0,,0.049535249194330014,0.010161864701778265,1.0060246054760482,-0.003975394523951792
1.8800000000000001,0.0005,1,True,1,99.09999999998236,0.05006645450344203,0.010270838343107129,0.0,-1.01
1.8900000000000001,0.0005,1,True,1,99.09999999998236,0.050600492907118336,0.01038039317715604,0.0,-1.01
1.9000000000000001,0.0005,1,True,1,99.09999999998236,0.0511373644060384,0.010490529203970665,0.0,-1.01
1.9100000000000001,0.0005,1,True,1,99.09999999998236,0.05167706900013342,0.010601246423577735,0.0,-1.01
1.9200000000000002,0.0005,1,True,1,99.09999999998236,0.05221960668858376,0.010712544835858134,0.0,-1.01
1.9300000000000002,0.0005,1,True,1,98.09999999998327,0.052764977472443686,0.010824424440956295,0.052764977472443686,-0.9572350225275563
1.9400000000000002,0.0005,1,True,1,98.09999999998327,0.053313181351458905,0.010936885238819201,0.053313181351458905,-0.9566868186485411
1.9500000000000002,0.0005,1,True,1,98.09999999998327,0.05386421832506358,0.011049927229370196,0.05386421832506358,-0.9561357816749364
