alpha_0,T,gamma,M,has_commits,agent_commit_count,first_commit_time,commit_rate,final_psi,max_salience
1.88,100.0,0.001,1,False,0,,0.0,0.9895529551113218,0.04846885649032252
1.89,100.0,0.001,1,False,0,,0.0,1.0001081119749855,0.04898585396961313
1.9,100.0,0.001,1,True,1,99.09999999998236,0.01,0.0,0.049505594140678184
1.91,100.0,0.001,1,True,1,99.09999999998236,0.01,0.0,0.050028077004136653
1.92,100.0,0.001,1,True,1,99.09999999998236,0.01,0.0,0.05055330255942291
1.88,200.0,0.001,1,True,25,100.09999999998145,0.125,0.7490146224338676,0.7490146224338676
1.89,200.0,0.001,1,True,26,100.09999999998145,0.13,0.0,0.7570040552383646
1.9,200.0,0.001,1,True,26,99.09999999998236,0.13,0.0,0.7650358722915854
1.91,200.0,0.001,1,True,26,99.09999999998236,0.13,0.0,0.7731100735974465
1.92,200.0,0.001,1,True,26,99.09999999998236,0.13,0.7812266591664223,0.7812266591664223
1.88,500.0,0.001,1,True,318,100.09999999998145,0.636,0.0,24.669558011164067
1.89,500.0,0.001,1,True,318,100.09999999998145,0.636,0.0,24.932698101984588
1.9,500.0,0.001,1,True,319,99.09999999998236,0.638,0.0,25.19723416204796
1.91,500.0,0.001,1,True,319,99.09999999998236,0.638,0.0,25.463166190134288
1.92,500.0,0.001,1,True,320,99.09999999998236,0.64,0.0,25.73049418701704
