phase_offset,alpha_0,T,gamma,M,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
0,1.0,200.0,0.001,1,True,28,0.14,97.09999999998418,0.0,0.8476851755450733
0,1.2,200.0,0.001,1,True,39,0.195,91.09999999998963,0.0,1.2206666527848336
0,1.4,200.0,0.001,1,True,51,0.255,85.09999999999509,0.0,1.661462944069674
0,1.6,200.0,0.001,1,True,61,0.305,81.09999999999873,0.0,2.170074049363893
0,1.8,200.0,0.001,1,True,69,0.345,77.09500000000237,0.0,2.746499968777294
0,2.0,200.0,0.001,1,True,76,0.38,74.0950000000051,0.0,3.390740702180293
0,2.2,200.0,0.001,1,True,82,0.41,71.09500000000783,0.0,4.102796249631249
1,1.0,200.0,0.001,1,True,28,0.14,97.09999999998418,0.0,0.8476851755450733
1,1.2,200.0,0.001,1,True,39,0.195,91.09999999998963,0.0,1.2206666527848336
1,1.4,200.0,0.001,1,True,51,0.255,85.09999999999509,0.0,1.661462944069674
1,1.6,200.0,0.001,1,True,61,0.305,81.09999999999873,0.0,2.170074049363893
1,1.8,200.0,0.001,1,True,69,0.345,77.09500000000237,0.0,2.746499968777294
1,2.0,200.0,0.001,1,True,76,0.38,74.0950000000051,0.0,3.390740702180293
1,2.2,200.0,0.001,1,True,82,0.41,71.09500000000783,0.0,4.102796249631249
2,1.0,200.0,0.001,1,True,27,0.135,98.09999999998327,0.8394565618280901,0.8394565618280901
2,1.2,200.0,0.001,1,True,38,0.19,91.09999999998963,0.0,1.2088174490259294
2,1.4,200.0,0.001,1,True,51,0.255,86.09999999999418,0.0,1.6453348611780365
2,1.6,200.0,0.001,1,True,60,0.3,81.09999999999873,0.0,2.149008798273048
2,1.8,200.0,0.001,1,True,68,0.34,77.09500000000237,0.0,2.719839260294541
2,2.0,200.0,0.001,1,True,75,0.375,74.0950000000051,0.0,3.3578262473123606
2,2.2,200.0,0.001,1,True,81,0.405,72.09500000000692,0.0,4.062969759225208
