analysis,dimension,parameter,value,R2
dimensional_scaling,1,power_law_exponent,3.725149701304864,0.9900682871254072
dimensional_scaling,2,power_law_exponent,3.725149701304864,0.9900682871254072
dimensional_scaling,3,power_law_exponent,3.725149701304864,0.9900682871254072
dimensional_scaling,4,power_law_exponent,3.725149701304864,0.9900682871254072
dimensional_scaling,5,power_law_exponent,3.725149701304864,0.9900682871254072
source_scaling,1,exponent_rho,2.249759615500212,0.9976765240498802
source_scaling,2,exponent_rho,1.9952524896806878,0.9997838216133378
source_scaling,3,exponent_rho,0.00472285326326483,0.8935051111057387
source_scaling,4,exponent_rho,0.002538106586642071,0.02079306409753945
source_scaling,5,exponent_rho,0.005785328906347408,0.8932534268398374
damping,1,ratio_observed,0.053428129715747535,0.010685625943149505
damping,2,ratio_observed,0.00035150767506491524,7.030153501298304e-05
damping,3,ratio_observed,0.0021291450207996713,0.0004258290041599343
damping,4,ratio_observed,0.006125183933065207,0.0012250367866130413
damping,5,ratio_observed,0.002613658324018358,0.0005227316648036717
alpha_threshold,1,exponent,1.8846008021430758,0.8561098530923268
alpha_threshold,1,threshold,3.44824446196431,0.8561098530923268
alpha_threshold,2,exponent,1.99164515757771,0.999297474421969
alpha_threshold,2,threshold,0.019017485777861467,0.999297474421969
alpha_threshold,3,exponent,0.004391613126200992,0.8679176539644199
alpha_threshold,3,threshold,0.0,0.8679176539644199
alpha_threshold,4,exponent,0.05845210889888918,0.45379878084092884
alpha_threshold,4,threshold,5.963425938359251e-118,0.45379878084092884
alpha_threshold,5,exponent,0.005381806254191096,0.8669647646698272
alpha_threshold,5,threshold,0.0,0.8669647646698272
