dimension,gamma,T,n_runs,CV,rho,SLF,GPN_geom,GPN_phase,GPN,SPBI,mean_max_salience,std_max_salience
1,0.001,100.0,132,1.6503237935035702,0.5573016559067027,0.44269834409329734,0.9999899769894117,1.0,0.9999949884947059,3.7278743314110283,0.029826801645747397,0.04922388044008837
1,0.001,200.0,132,1.6503237935035702,0.5573016559067027,0.44269834409329734,0.9999899769894117,1.0,0.9999949884947059,3.7278743314110283,0.029826801645747397,0.04922388044008837
1,0.001,500.0,132,1.6503237935035702,0.5573016559067027,0.44269834409329734,0.9999899769894117,1.0,0.9999949884947059,3.7278743314110283,0.029826801645747397,0.04922388044008837
1,0.005,100.0,132,1.635771481398769,0.5868414504376048,0.41315854956239517,0.8946208021004286,1.0,0.9473104010502142,3.9591858455581463,0.558260261110285,0.9131862143224345
1,0.005,200.0,132,1.635771481398769,0.5868414504376048,0.41315854956239517,0.8946208021004286,1.0,0.9473104010502142,3.9591858455581463,0.558260261110285,0.9131862143224345
1,0.005,500.0,132,1.635771481398769,0.5868414504376048,0.41315854956239517,0.8946208021004286,1.0,0.9473104010502142,3.9591858455581463,0.558260261110285,0.9131862143224345
2,0.001,100.0,132,1.321899777840604,0.6958428466459228,0.3041571533540772,0.999907488313947,1.0,0.9999537441569735,4.346107804019806,5.5251628097046295,7.303711490681717
2,0.001,200.0,132,1.321899777840604,0.6958428466459228,0.3041571533540772,0.999907488313947,1.0,0.9999537441569735,4.346107804019806,5.5251628097046295,7.303711490681717
2,0.001,500.0,132,1.321899777840604,0.6958428466459228,0.3041571533540772,0.999907488313947,1.0,0.9999537441569735,4.346107804019806,5.5251628097046295,7.303711490681717
2,0.005,100.0,132,1.3281197468585897,0.6926057834238228,0.30739421657617716,0.9996454790819073,1.0,0.9998227395409536,4.3205749335542905,181.94410187473906,241.6435545242919
2,0.005,200.0,132,1.3261884576745993,0.6935690692199676,0.30643093078003236,0.9966723055874763,1.0,0.9983361527937382,4.327854418281904,2211.6014884014853,2933.000366894014
2,0.005,500.0,132,1.3346820424840073,0.6943147158475769,0.30568528415242313,0.9764633856525297,1.0,0.9882316928262649,4.366196580855028,44761.86410612026,59742.85621054816
3,0.001,100.0,132,1.3287098884613469,0.6922940098372711,0.3077059901627289,0.9999593303784307,1.0,0.9999796651892153,4.318115119431587,93.58240734816061,124.34387002951883
3,0.001,200.0,132,1.328644566695865,0.6925131491085847,0.30748685089141525,0.9990811306994692,1.0,0.9995405653497347,4.320980109699252,1416.8292544061794,1882.462490802524
3,0.001,500.0,132,1.3283235649429048,0.6913816117990242,0.30861838820097576,0.9976212306596219,1.0,0.998810615329811,4.30409727912222,48635.809812721636,64604.09227431951
3,0.005,100.0,132,1.3282987195118694,0.6924579502129169,0.3075420497870831,0.9999953758076157,1.0,0.9999976879038078,4.319080010136743,181.43437336491897,240.9990458160603
3,0.005,200.0,132,1.3286491811853949,0.6927794433010362,0.30722055669896375,0.9990092003144883,1.0,0.9995046001572441,4.324740490875741,21886.63756245971,29079.663076263598
3,0.005,500.0,132,1.5892257197744683e-16,,,1.0,1.0,1.0,,23530212.765957445,3.73948193194251e-09
4,0.001,100.0,132,1.3288813305662284,0.6923019435911191,0.3076980564088809,0.9998242565041546,1.0,0.9999121282520773,4.3187836350853,495.12808844055803,657.9664729676019
4,0.001,200.0,131,1.3215933501762271,0.690619262009536,0.30938073799046395,0.9847878172974847,0.9849954020766262,0.9848916096870555,4.271737661369735,7549.108520818425,9976.851620872325
4,0.001,500.0,130,1.3243533452932221,0.713193571283977,0.286806428716023,0.9803948979743036,0.981025849791488,0.9807103738828957,4.6175859837664595,259546.58317307686,343731.38568468986
4,0.005,100.0,132,1.3297870642862377,0.6918710176196892,0.30812898238031083,0.999236056155456,1.0,0.999618028077728,4.315683172720626,959.9821056635692,1276.5717860576785
4,0.005,200.0,132,1.3288650577750323,0.6921180622252477,0.30788193777475226,0.9986335325616432,1.0,0.9993167662808216,4.316151403292894,115481.39243607954,153459.187231512
4,0.005,500.0,130,0.0,,,0.9999999999999998,1.0,0.9999999999999999,,43690666.66666666,0.0
5,0.001,100.0,132,1.328358084201591,0.6924177594492509,0.3075822405507491,0.9998936831430837,1.0,0.9999468415715418,4.318708654384811,540.5244458644879,718.0100173726777
5,0.001,200.0,132,1.327711028331695,0.692691379127473,0.30730862087252697,0.9997654043432235,1.0,0.9998827021716117,4.3204483641298035,8178.887934520989,10859.199710152556
5,0.001,500.0,132,1.3314617398771973,0.6905554060013693,0.30944459399863067,0.9984446441675925,1.0,0.9992223220837962,4.30274681057472,282019.4683817339,375498.1320507857
5,0.005,100.0,132,1.3284898180605667,0.6923872105610438,0.3076127894389562,0.9995492807496562,1.0,0.9997746403748281,4.318708011079614,1047.0602230495874,1391.0088452176028
5,0.005,200.0,132,1.3276212010329205,0.692587352258618,0.307412647741382,0.9994472976880029,1.0,0.9997236488440014,4.318694142180553,126131.12239583328,167454.35220278648
5,0.005,500.0,132,2.6924269909986087e-16,,,1.0,1.0,1.0,,111111111.11111104,2.991585545554008e-08
