log10_radius,target_radius,measured_radius,pi_estimate,pi_error,error_percent
0.0,1.0,1.0,2.8284271247461903,0.3131655288436028,9.968368384289384
1.0,10.0,10.0,3.1197513478030396,0.021841305786753473,0.6952303559086868
2.0,100.0,100.0,3.1394054801596125,0.0021871734301806,0.06961989256249979
3.0,1000.0,1000.0,3.141166039717219,0.0004266138725741442,0.013579541322350201
6.0,1000000.0,1000000.0,3.1409565188339266,0.0006361347558665464,0.020248798173743386
9.0,1000000000.0,1000000000.0,3.1406384604051327,0.0009541931846603902,0.030372912400659757
12.0,1000000000000.0,1000000000000.0,3.1405850346502904,0.0010076189395027413,0.032073506994974944
17.0,1e+17,1e+17,3.1415627741807066,2.9879409086497333e-05,0.0009510911305561886
22.0,1e+22,1e+22,3.141582927980385,9.725609408040015e-06,0.0003095757623741221
27.0,1e+27,1e+27,3.141582276845272,1.0376744520979031e-05,0.0003303020367431109
32.0,1e+32,1e+32,3.141574029237632,1.8624352160934166e-05,0.000592831541659379
42.0,1e+42,1e+42,3.1415446668195903,4.7986770202790296e-05,0.0015274663361577899
52.0,1e+52,1e+52,3.141555642781274,3.7010808519255534e-05,0.0011780906247334298
62.0,1e+62,1e+62,3.1415714557398724,2.1197849920717715e-05,0.0006747485195604733
72.0,1e+72,1e+72,3.141581067608985,1.1585980808082041e-05,0.0003687932232348178
82.0,1e+82,1e+82,3.1415726339592642,2.001963052888911e-05,0.0006372446315092234
92.0,1e+92,1e+92,3.1415821838276003,1.0469762192766296e-05,0.00033326288119507944
